Club,Last Name,First Name,Pos,Base Salary,Compensation,Year,Team,uniquename
DCU,Addlery,Nicholas,F,36000.0,36000.0,2007,DCU United,Addlery_Nicholas
DCU,Arguez,Bryan,D-M,45000.0,76200.0,2007,DCU United,Arguez_Bryan
DCU,Boswell,Robert,D,30870.0,30870.0,2007,DCU United,Boswell_Robert
DCU,Burch,Marc,D,30000.0,30000.0,2007,DCU United,Burch_Marc
DCU,Carreiro da Silva,Fred,M-F,190008.0,222008.0,2007,DCU United,Carreiro da Silva_Fred
DCU,Carroll,Brian,M,115000.0,118750.0,2007,DCU United,Carroll_Brian
DCU,Carroll,Jeff,D-M,12900.0,12900.0,2007,DCU United,Carroll_Jeff
DCU,Crowe,Shawn,GK,12900.0,12900.0,2007,DCU United,Crowe_Shawn
DCU,DeRoux,Stephen,M,12900.0,12900.0,2007,DCU United,DeRoux_Stephen
DCU,Dyachenko,Rod,M,17700.0,17700.0,2007,DCU United,Dyachenko_Rod
DCU,Emilio,Luciano,F,265000.0,293125.0,2007,DCU United,Emilio_Luciano
DCU,Gomez,Cristian,M,216000.0,218500.0,2007,DCU United,Gomez_Cristian
DCU,Gros,Joshua,M,72500.0,75000.0,2007,DCU United,Gros_Joshua
DCU,Kpene,Guy,F,30000.0,30000.0,2007,DCU United,Kpene_Guy
DCU,McTavish,Devon,M,30000.0,30000.0,2007,DCU United,McTavish_Devon
DCU,Mediate,Stanton,M-F,30000.0,30000.0,2007,DCU United,Mediate_Stanton
DCU,Moose,Justin,M,17700.0,17700.0,2007,DCU United,Moose_Justin
DCU,Moreno,Jaime,F,250000.0,275000.0,2007,DCU United,Moreno_Jaime
DCU,Mupier,Mira,F,12900.0,12900.0,2007,DCU United,Mupier_Mira
DCU,Namoff,Bryan,D,85000.0,88750.0,2007,DCU United,Namoff_Bryan
DCU,Nolly,Jay,GK,36000.0,36000.0,2007,DCU United,Nolly_Jay
DCU,North,Brad,F,12900.0,12900.0,2007,DCU United,North_Brad
DCU,Olsen,Ben,M,155000.0,177500.0,2007,DCU United,Olsen_Ben
DCU,Perkins,Troy,GK,85000.0,87500.0,2007,DCU United,Perkins_Troy
DCU,Simms,Clyde,M,52500.0,53750.0,2007,DCU United,Simms_Clyde
DCU,Vanney,Greg,D,216667.0,236667.0,2007,DCU United,Vanney_Greg
DCU,Walker,Jamil,M-F,30870.0,30870.0,2007,DCU United,Walker_Jamil
DCU,Burch,Marc,D,33000.0,33000.0,2008,DCU United,Burch_Marc
DCU,Carreiro da Silva,Fred,M,210000.0,242000.0,2008,DCU United,Carreiro da Silva_Fred
DCU,Carroll,Jeff,D,12900.0,12900.0,2008,DCU United,Carroll_Jeff
